Id,Name,Calories,Protein
1,Laxfilé,230,20
2,Rapsolja,884,0
3,Salt,0,0
4,Peppar,0,0
5,Matlagningsgrädde,162,3
6,Chilisås,81,1
7,Soltorkade tomater,227,5
8,Spenat,18,2
9,Fiskbuljongtärning,4,0
10,Potatis,79,2
11,Morot,36,1
12,Palsternacka,71,2
13,Rödlök,46,1
14,Paprikapulver,321,15
15,Kycklingbröstfilé,104,23
16,Parmaskinka,107,16
17,Broccoli,35,3
18,Paprika röd,31,1
19,Persilja blad,35,2
20,Vitlök,160,6
21,Basilika färsk,25,2
22,Parmesanost,450,41
23,Lök gul,39,1
24,Brysselkål,44,3
25,Timjan,283,9
26,Olivolja,884,0
27,Fläskkotlett,182,22
28,Vindruvor,75,0
29,Senapsfrö,66,4
30,Kikärter konserv,128,7
31,Turkisk yoghurt,123,4
32,Tomat,18,1
33,Cannellinibönor,98,7
34,Grönsaksbuljongtärning,305,9
35,Vetetortilla,287,6
36,Creme fraiche,200,2
37,Sambal oelek,21,1
38,Mozzarellaost,176,6