Name,Location,Opening hours
Coop Stenbocksgatan,Södra stenbocksgatan 127 Helsingborg,07:00 - 23:00
Lidl,Södergatan 19 Helsingborg,08:00 - 21:00
ICA Nära city,Drottninggatan 46 Helsingborg,07:00 - 21:00
Hemköp,Stattena Centrum 6 Helsingborg,07:00 - 22:00
ICA OJ,Carl Krooks Gata 30 Helsingborg,07:00 - 22:00
City Gross Ättekulla,Rusthållsgatan 43 Helsingborg,07:00-22:00
Coop Knutpunkten,Järnvägsgatan 11,07:00 -22:00
Lidl ,Brunnbäcksgatan 33 Helsingborg,08:00 - 20:00
HemKöp Laröd,Serpentinvägen 3 Helsingborg,08:00- 20:00
City Gross Höganäs,Midgårdsgatan 8 Höganäs,07:00 - 22:00
Maxi ICA stormarknad,Malmö,07:00 - 22:00
ICA Nära,Malmö,07:00 - 22:00
Coop Kirseberg,Malmö,07:00 - 22:00
ICA Malmborgs,Malmö,07:00 - 22:00
Coop Norra Parkgatan Malmö,Malmö,08:00 - 22:00
Coop Värnhem,Malmö,07:00 - 22:00