Name,Calories,Protein
Laxfilé,230,20
Rapsolja,884,0
Salt,0,0
Peppar,0,0
Matlagningsgrädde,162,3
Chilisås,81,1
Soltorkade tomater,227,5
Spenat,18,2
Fiskbuljongtärning,4,0
Potatis,79,2
Morot,36,1
Palsternacka,71,2
Rödlök,46,1
Paprikapulver,321,15
Kycklingbröstfilé,104,23
Parmaskinka,107,16
Broccoli,35,3
Paprika röd,31,1
Persilja blad,35,2
Vitlök,160,6
Basilika färsk,25,2
Parmesanost,450,41
Lök gul,39,1
Brysselkål,44,3
Timjan,283,9
Olivolja,884,0
Fläskkotlett,182,22
Vindruvor,75,0
Senapsfrö,66,4
Kikärter konserv,128,7
Turkisk yoghurt,123,4
Tomat,18,1
Cannellinibönor,98,7
Grönsaksbuljongtärning,305,9
Vetetortilla,287,6
Creme fraiche,200,2
Sambal oelek,21,1
Mozzarellaost,176,6